Team,Mat,Won,Lost,Tied,NR,W/L,Ave,RPO,Inns,HS,LS
South Africa,23,15,8,0,0,1.875,29.04,8.23,23,203,144
Pakistan,23,14,6,0,3,2.333,29.41,8.33,20,232,99
New Zealand,21,13,8,0,0,1.625,26.33,8.02,21,219,60
Uganda,20,13,5,0,1,2.6,24.54,7.36,18,176,124
Bangladesh,24,11,13,0,0,0.846,17.49,6.73,24,194,73
England,17,11,6,0,0,1.833,28.96,8.68,17,201,200
Australia,22,10,12,0,0,0.833,21.77,7.78,22,215,62
Namibia,14,9,5,0,0,1.8,23.37,7.13,14,189,96
Romania,9,9,0,0,0,-,27.96,10.63,9,211,156
West Indies,22,9,10,0,3,0.9,22.44,8.1,22,199,55
Germany,14,8,6,0,0,1.333,19.34,6.22,14,164,85
Ghana,11,8,3,0,0,2.666,24.74,8,11,239,79
India,14,8,6,0,0,1.333,30.79,8.07,14,224,-
Malta,18,8,9,1,0,0.888,20.64,7.69,18,213,50
Sri Lanka,20,8,12,0,0,0.666,19.4,6.95,20,189,91
Jersey,6,6,0,0,0,-,19.19,6.07,6,139,94
Nigeria,16,6,9,0,0,0.666,15.8,5.68,16,134,90
Tanzania,8,6,1,0,0,6,28.18,9.24,8,242,143
Zimbabwe,17,6,11,0,0,0.545,20.44,7.29,17,193,138
Afghanistan,8,5,3,0,0,1.666,28.48,8.36,8,198,-
Belgium,8,5,3,0,0,1.666,19.44,7.14,8,196,99
Canada,6,5,0,1,0,-,55.65,10.19,6,245,-
Ireland,14,5,9,0,0,0.555,19.23,6.78,14,178,101
Kenya,11,5,4,0,1,1.25,21.42,7.53,9,162,123
Luxembourg,8,5,3,0,0,1.666,28.04,7.81,8,187,-
Rwanda,11,5,6,0,0,0.833,16.98,7.47,11,196,63
Scotland,13,5,8,0,0,0.625,19.01,6.97,13,177,60
U.S.A.,6,5,0,1,0,-,31.09,8.26,6,172,172
Austria,7,4,3,0,0,1.333,26.38,8.35,7,195,-
Bermuda,6,4,2,0,0,2,25.18,8.68,6,239,-
Cyprus,6,4,2,0,0,2,19.61,7.37,6,187,92
Isle of Man,4,4,0,0,0,-,29.2,7.91,4,151,-
Malawi,6,4,2,0,0,2,27.84,6.46,6,142,-
Nepal,5,4,1,0,0,4,50.83,10.49,5,238,-
Portugal,4,4,0,0,0,-,28.72,9.44,4,218,-
Bahrain,4,3,1,0,0,3,24.09,8.8,4,179,-
Botswana,4,3,1,0,0,3,27.94,7.75,4,157,-
Bulgaria,12,3,8,0,1,0.375,21.44,7.47,12,208,81
Italy,6,3,3,0,0,1,16.09,5.68,6,141,98
Qatar,4,3,1,0,0,3,22.83,7.66,4,154,-
Sierra Leone,10,3,7,0,0,0.428,11.82,4.83,10,100,55
Sweden,7,3,4,0,0,0.75,19.08,6.89,7,146,-
Switzerland,4,3,1,0,0,3,26.8,8.83,4,170,-
Argentina,6,2,4,0,0,0.5,20.67,6.48,6,171,109
Bahamas,6,2,4,0,0,0.5,12.09,5.71,6,150,68
Czech Rep.,7,2,5,0,0,0.4,24.51,7.77,7,176,84
Denmark,9,2,7,0,0,0.285,15.52,5.82,9,135,89
Finland,4,2,2,0,0,1,21.8,7.39,4,145,-
Hungary,4,2,2,0,0,1,25.92,8.95,4,187,187
Kuwait,4,2,2,0,0,1,19.53,8,4,146,-
